Sample,Group,Ca,Mg,Na,K,HCO3,Cl,SO4,EC,pH
TW-01,Up-gradient,55.3,20.7,32.8,2.0,216.2,22.5,16.5,595.0,7.1
TW-02,Up-gradient,43.4,15.6,30.5,2.4,243.7,28.1,24.2,484.0,7.14
TW-03,Up-gradient,44.9,22.2,29.7,2.7,227.9,20.8,29.6,543.0,7.17
TW-04,Up-gradient,56.2,26.1,57.6,3.1,226.0,63.2,36.7,753.0,7.21
TW-05,Up-gradient,52.3,26.5,56.1,3.4,234.8,92.7,51.0,731.0,7.24
TW-06,Up-gradient,48.1,29.2,59.0,3.8,268.0,78.8,39.7,747.0,7.28
TW-07,Up-gradient,65.5,26.6,79.0,4.1,256.4,91.5,36.6,900.0,7.31
TW-08,Up-gradient,72.9,31.8,67.0,4.5,253.5,119.5,65.0,928.0,7.35
TW-09,Up-gradient,74.0,35.4,105.2,4.8,276.6,143.3,65.0,1130.0,7.38
TW-10,Down-gradient,67.1,25.7,118.6,5.2,280.8,144.2,66.3,1076.0,7.42
TW-11,Down-gradient,84.5,32.1,126.0,5.5,283.7,173.5,68.8,1248.0,7.45
TW-12,Down-gradient,77.1,40.9,145.6,5.9,310.5,204.3,78.8,1370.0,7.49
TW-13,Down-gradient,69.8,40.9,169.3,6.2,305.9,243.0,90.6,1437.0,7.52
TW-14,Down-gradient,87.1,42.8,196.5,6.6,300.5,260.5,99.8,1659.0,7.56
TW-15,Down-gradient,84.6,50.3,196.1,6.9,309.6,289.2,99.2,1707.0,7.59
TW-16,Down-gradient,89.7,45.6,209.4,7.3,318.5,313.9,105.6,1752.0,7.63
TW-17,Down-gradient,90.6,45.9,251.6,7.6,342.5,319.7,109.6,1943.0,7.66
TW-18,Down-gradient,91.3,42.2,250.0,8.0,361.4,376.9,118.8,1911.0,7.7
