Well,Easting,Northing,Elevation,Pre-monsoon,Post-monsoon
Arasur,702159.1,1352608.5,522.0,17.65,11.42
Belur,702225.5,1352411.5,521.5,11.98,4.3
Chettipalayam,700258.6,1350193.8,546.2,21.94,15.14
Devanur,704274.7,1351348.8,504.4,9.94,5.61
Elanthur,700689.0,1352071.6,534.8,16.8,10.99
Gudalur,700615.6,1351421.4,540.5,18.2,7.76
Hosur,703493.7,1350457.5,510.9,11.51,3.31
Idayapatti,703674.2,1350723.1,509.4,12.75,8.7
Jagir,701805.4,1352045.0,525.2,14.41,5.38
Kalipatti,702625.2,1350209.7,518.5,16.3,10.23
Laxmipuram,703502.6,1351650.2,510.8,12.49,4.25
Melur,704057.5,1351295.3,506.2,9.04,4.89
Nallur,700778.6,1350454.9,550.6,19.66,9.9
Odaipatti,703153.5,1352431.6,513.7,9.87,5.33
Palayam,702220.8,1352038.1,521.6,17.02,7.25
Ramapuram,704034.0,1352793.7,506.4,9.52,0.8
Sevur,702369.8,1352219.6,520.3,14.56,10.42
Thenur,700435.5,1352613.3,536.4,12.6,5.83
Udayapatti,704223.9,1352336.5,504.8,6.05,0.8
Vadakkur,704115.5,1351024.4,505.7,12.51,5.42
Alampatti,700565.3,1351949.5,536.2,16.38,7.92
Kovilur,700938.1,1352363.8,532.3,13.91,7.05
Mettur,700535.5,1352094.3,536.0,12.81,6.42
Pudur,702196.8,1350524.6,523.9,17.05,6.82
Sankarapuram,700667.4,1352244.9,534.7,13.09,2.7
Tiruvur,703734.1,1353003.0,508.9,9.19,0.8
Valayapatti,701675.4,1351537.3,528.2,16.94,7.0
Ayyampatti,702917.2,1352172.3,515.7,14.46,6.13
Karadipatti,702553.1,1350701.3,519.3,14.13,7.14
Siruvalur,704119.0,1350954.3,505.7,10.8,0.8
